%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1784885562252619028,10291,1784885562252619028,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562252619028,10292,1784885562252619028,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562302852631,10293,1784885562302852631,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562302852631,10294,1784885562302852631,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562353151083,10295,1784885562353151083,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562353151083,10296,1784885562353151083,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562353151083,10297,1784885562353151083,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562403416395,10298,1784885562403416395,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562403416395,10299,1784885562403416395,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562453590631,10300,1784885562453590631,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562453590631,10301,1784885562453590631,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562453590631,10302,1784885562453590631,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562503779650,10303,1784885562503779650,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562503779650,10304,1784885562503779650,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562553974628,10305,1784885562553974628,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562553974628,10306,1784885562553974628,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562553974628,10307,1784885562553974628,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562604258537,10308,1784885562604258537,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
